Probe_ID,median
cg00075967,0.849
cg00091693,0.849
cg00168942,0.652
cg00374717,0.95
cg00431549,0.293
cg00436603,0.8
cg00481951,0.208
cg00486113,0.364
cg00748589,0.248
cg00864867,0.054
cg00945507,0.526
cg01027739,0.098
cg01027805,0.1
cg01234063,0.061
cg01262913,0.074
cg01353448,0.622
cg01407797,0.083
cg01459453,0.798
cg01485645,0.167
cg01511567,0.221
cg01528542,0.759
cg01560871,0.787
cg01570885,0.491
cg01584473,0.864
cg01644850,0.045
cg01656216,0.911
cg01820374,0.347
cg01873645,0.043
cg01968178,0.123
cg02046143,0.312
cg02047577,0.017
cg02071305,0.328
cg02085507,0.565
cg02085953,0.413
cg02154074,0.149
cg02217159,0.139
cg02275294,0.134
cg02331561,0.016
cg02332492,0.884
cg02335441,0.057
cg02364642,0.304
cg02388150,0.244
cg02479575,0.027
cg02489552,0.634
cg02580606,0.934
cg02650266,0.066
cg02654291,0.474
cg02827112,0.081
cg02867102,0.152
cg02972551,0.051
cg03019000,0.81
cg03032497,0.22
cg03103192,0.499
cg03167275,0.113
cg03270204,0.914
cg03286783,0.08
cg03330058,0.348
cg03399905,0.1
cg03473532,0.886
cg03565323,0.137
cg03578041,0.327
cg03588357,0.079
cg03607117,0.079
cg03682823,0.539
cg03760483,0.489
cg03891319,0.097
cg03947362,0.047
cg04005032,0.069
cg04084157,0.157
cg04094160,0.045
cg04121983,0.109
cg04126866,0.849
cg04268405,0.964
cg04400972,0.084
cg04416734,0.18
cg04431054,0.285
cg04452713,0.121
cg04474832,0.312
cg04528819,0.152
cg04836038,0.106
cg04875128,0.122
cg04940570,0.061
cg04999691,0.771
cg05250458,0.287
cg05294243,0.277
cg05365729,0.349
cg05442902,0.306
cg05590257,0.083
cg05675373,0.112
cg05755779,0.921
cg05847778,0.036
cg05903609,0.143
cg05921699,0.905
cg05960024,0.964
cg06044899,0.568
cg06117855,0.185
cg06121469,0.038
cg06144905,0.254
cg06361108,0.045
cg06419846,0.941
cg06462291,0.076
cg06493994,0.21
cg06513075,0.045
cg06557358,0.085
cg06639320,0.43
cg06685111,0.432
cg06688848,0.046
cg06738602,0.162
cg06810647,0.223
cg06836772,0.189
cg06874016,0.354
cg06926735,0.037
cg06952310,0.743
cg06993413,0.095
cg07082267,0.482
cg07158339,0.43
cg07285276,0.845
cg07291563,0.045
cg07337598,0.838
cg07388493,0.517
cg07408456,0.403
cg07455279,0.216
cg07498421,0.119
cg07547549,0.381
cg07553761,0.212
cg07583137,0.819
cg07595943,0.987
cg07663789,0.064
cg07730301,0.442
cg07770222,0.755
cg07849904,0.069
cg07927379,0.022
cg07955995,0.027
cg08030082,0.536
cg08090772,0.143
cg08097417,0.155
cg08124722,0.947
cg08186124,0.035
cg08234504,0.326
cg08251036,0.954
cg08331960,0.4
cg08370996,0.118
cg08413469,0.061
cg08415592,0.274
cg08434234,0.096
cg08540945,0.112
cg08771731,0.041
cg08965235,0.229
cg09019938,0.088
cg09118625,0.636
cg09133026,0.845
cg09191327,0.059
cg09418283,0.02
cg09441152,0.055
cg09509673,0.934
cg09646392,0.457
cg09651136,0.804
cg09722397,0.097
cg09722555,0.914
cg09785172,0.059
cg09809672,0.54
cg09869858,0.963
cg09885951,0.049
cg10045881,0.647
cg10266490,0.301
cg10281002,0.145
cg10345936,0.873
cg10376763,0.955
cg10377274,0.946
cg10486998,0.128
cg10501210,0.837
cg10523019,0.156
cg10865119,0.172
cg10920957,0.066
cg10940099,0.029
cg11025793,0.183
cg11067179,0.896
cg11299964,0.322
cg11314684,0.436
cg11388238,0.056
cg11653266,0.042
cg11932564,0.024
cg12351433,0.29
cg12373771,0.153
cg12413566,0.92
cg12616277,0.088
cg12768605,0.222
cg12830694,0.948
cg12941369,0.392
cg12946225,0.144
cg12985418,0.049
cg13001142,0.868
cg13038560,0.948
cg13129046,0.203
cg13216057,0.071
cg13269407,0.175
cg13302154,0.525
cg13319175,0.942
cg13460409,0.298
cg13547237,0.333
cg13682722,0.071
cg13828047,0.418
cg13836627,0.099
